Ward Number,Ward Name,Urban Local Body Name,Urban Local Body Type,District,State,LGD Code
1,Bathinda (M Cl) - Ward No.1,Bathinda,Municipal Corporation,Bathinda,Punjab,74674
2,Bathinda (M Cl) - Ward No.2,Bathinda,Municipal Corporation,Bathinda,Punjab,74675
3,Bathinda (M Cl) - Ward No.3,Bathinda,Municipal Corporation,Bathinda,Punjab,74676
4,Bathinda (M Cl) - Ward No.4,Bathinda,Municipal Corporation,Bathinda,Punjab,74677
5,Bathinda (M Cl) - Ward No.5,Bathinda,Municipal Corporation,Bathinda,Punjab,74678
6,Bathinda (M Cl) - Ward No.6,Bathinda,Municipal Corporation,Bathinda,Punjab,74679
7,Bathinda (M Cl) - Ward No.7,Bathinda,Municipal Corporation,Bathinda,Punjab,74680
8,Bathinda (M Cl) - Ward No.8,Bathinda,Municipal Corporation,Bathinda,Punjab,74681
9,Bathinda (M Cl) - Ward No.9,Bathinda,Municipal Corporation,Bathinda,Punjab,74682
10,Bathinda (M Cl) - Ward No.10,Bathinda,Municipal Corporation,Bathinda,Punjab,74683
11,Bathinda (M Cl) - Ward No.11,Bathinda,Municipal Corporation,Bathinda,Punjab,74684
12,Bathinda (M Cl) - Ward No.12,Bathinda,Municipal Corporation,Bathinda,Punjab,74685
13,Bathinda (M Cl) - Ward No.13,Bathinda,Municipal Corporation,Bathinda,Punjab,74686
14,Bathinda (M Cl) - Ward No.14,Bathinda,Municipal Corporation,Bathinda,Punjab,74687
15,Bathinda (M Cl) - Ward No.15,Bathinda,Municipal Corporation,Bathinda,Punjab,74688
16,Bathinda (M Cl) - Ward No.16,Bathinda,Municipal Corporation,Bathinda,Punjab,74689
17,Bathinda (M Cl) - Ward No.17,Bathinda,Municipal Corporation,Bathinda,Punjab,74690
18,Bathinda (M Cl) - Ward No.18,Bathinda,Municipal Corporation,Bathinda,Punjab,74691
19,Bathinda (M Cl) - Ward No.19,Bathinda,Municipal Corporation,Bathinda,Punjab,74692
20,Bathinda (M Cl) - Ward No.20,Bathinda,Municipal Corporation,Bathinda,Punjab,74693
21,Bathinda (M Cl) - Ward No.21,Bathinda,Municipal Corporation,Bathinda,Punjab,74694
22,Bathinda (M Cl) - Ward No.22,Bathinda,Municipal Corporation,Bathinda,Punjab,74695
23,Bathinda (M Cl) - Ward No.23,Bathinda,Municipal Corporation,Bathinda,Punjab,74696
24,Bathinda (M Cl) - Ward No.24,Bathinda,Municipal Corporation,Bathinda,Punjab,74697
25,Bathinda (M Cl) - Ward No.25,Bathinda,Municipal Corporation,Bathinda,Punjab,74698
26,Bathinda (M Cl) - Ward No.26,Bathinda,Municipal Corporation,Bathinda,Punjab,74699
27,Bathinda (M Cl) - Ward No.27,Bathinda,Municipal Corporation,Bathinda,Punjab,74700
28,Bathinda (M Cl) - Ward No.28,Bathinda,Municipal Corporation,Bathinda,Punjab,74701
29,Bathinda (M Cl) - Ward No.29,Bathinda,Municipal Corporation,Bathinda,Punjab,74702
30,Bathinda (M Cl) - Ward No.30,Bathinda,Municipal Corporation,Bathinda,Punjab,74703
31,Bathinda (M Cl) - Ward No.31,Bathinda,Municipal Corporation,Bathinda,Punjab,74704
32,Bathinda (M Cl) - Ward No.32,Bathinda,Municipal Corporation,Bathinda,Punjab,74705
33,Bathinda (M Cl) - Ward No.33,Bathinda,Municipal Corporation,Bathinda,Punjab,74706
34,Bathinda (M Cl) - Ward No.34,Bathinda,Municipal Corporation,Bathinda,Punjab,74707
35,Bathinda (M Cl) - Ward No.35,Bathinda,Municipal Corporation,Bathinda,Punjab,74708
36,Bathinda -Ward no. 36,Bathinda,Municipal Corporation,Bathinda,Punjab,2878259
37,Bathinda -Ward no. 37,Bathinda,Municipal Corporation,Bathinda,Punjab,2878260
38,Bathinda -Ward no. 38,Bathinda,Municipal Corporation,Bathinda,Punjab,2878261
39,Bathinda -Ward no. 39,Bathinda,Municipal Corporation,Bathinda,Punjab,2878262
40,Bathinda -Ward no. 40,Bathinda,Municipal Corporation,Bathinda,Punjab,2878263
41,Bathinda -Ward no. 41,Bathinda,Municipal Corporation,Bathinda,Punjab,2878264
42,Bathinda -Ward no. 42,Bathinda,Municipal Corporation,Bathinda,Punjab,2878265
43,Bathinda -Ward no. 43,Bathinda,Municipal Corporation,Bathinda,Punjab,2878266
44,Bathinda -Ward no. 44,Bathinda,Municipal Corporation,Bathinda,Punjab,2878267
45,Bathinda -Ward no. 45,Bathinda,Municipal Corporation,Bathinda,Punjab,2878268
46,Bathinda -Ward no. 46,Bathinda,Municipal Corporation,Bathinda,Punjab,2878269
47,Bathinda -Ward no. 47,Bathinda,Municipal Corporation,Bathinda,Punjab,2878270
48,Bathinda -Ward no. 48,Bathinda,Municipal Corporation,Bathinda,Punjab,2878271
49,Bathinda -Ward no. 49,Bathinda,Municipal Corporation,Bathinda,Punjab,2878272
50,Bathinda -Ward no. 50,Bathinda,Municipal Corporation,Bathinda,Punjab,2878273
1,Bhucho Mandi (M Cl) - Ward No.1,Bhucho Mandi,Municipality,Bathinda,Punjab,13697
2,Bhucho Mandi (M Cl) - Ward No.2,Bhucho Mandi,Municipality,Bathinda,Punjab,13698
3,Bhucho Mandi (M Cl) - Ward No.3,Bhucho Mandi,Municipality,Bathinda,Punjab,13699
4,Bhucho Mandi (M Cl) - Ward No.4,Bhucho Mandi,Municipality,Bathinda,Punjab,13700
5,Bhucho Mandi (M Cl) - Ward No.5,Bhucho Mandi,Municipality,Bathinda,Punjab,13701
6,Bhucho Mandi (M Cl) - Ward No.6,Bhucho Mandi,Municipality,Bathinda,Punjab,13702
7,Bhucho Mandi (M Cl) - Ward No.7,Bhucho Mandi,Municipality,Bathinda,Punjab,13703
8,Bhucho Mandi (M Cl) - Ward No.8,Bhucho Mandi,Municipality,Bathinda,Punjab,13704
9,Bhucho Mandi (M Cl) - Ward No.9,Bhucho Mandi,Municipality,Bathinda,Punjab,13705
10,Bhucho Mandi (M Cl) - Ward No.10,Bhucho Mandi,Municipality,Bathinda,Punjab,13706
11,Bhucho Mandi (M Cl) - Ward No.11,Bhucho Mandi,Municipality,Bathinda,Punjab,13707
12,Bhucho Mandi (M Cl) - Ward No.12,Bhucho Mandi,Municipality,Bathinda,Punjab,13708
13,Bhucho Mandi (M Cl) - Ward No.13,Bhucho Mandi,Municipality,Bathinda,Punjab,13709
1,Goniana (M Cl) - Ward No.1,Goniana,Municipality,Bathinda,Punjab,13683
2,Goniana (M Cl) - Ward No.2,Goniana,Municipality,Bathinda,Punjab,13684
3,Goniana (M Cl) - Ward No.3,Goniana,Municipality,Bathinda,Punjab,13685
4,Goniana (M Cl) - Ward No.4,Goniana,Municipality,Bathinda,Punjab,13686
5,Goniana (M Cl) - Ward No.5,Goniana,Municipality,Bathinda,Punjab,13687
6,Goniana (M Cl) - Ward No.6,Goniana,Municipality,Bathinda,Punjab,13688
7,Goniana (M Cl) - Ward No.7,Goniana,Municipality,Bathinda,Punjab,13689
8,Goniana (M Cl) - Ward No.8,Goniana,Municipality,Bathinda,Punjab,13690
9,Goniana (M Cl) - Ward No.9,Goniana,Municipality,Bathinda,Punjab,13691
10,Goniana (M Cl) - Ward No.10,Goniana,Municipality,Bathinda,Punjab,13692
11,Goniana (M Cl) - Ward No.11,Goniana,Municipality,Bathinda,Punjab,13693
12,Goniana (M Cl) - Ward No.12,Goniana,Municipality,Bathinda,Punjab,13694
13,Goniana (M Cl) - Ward No.13,Goniana,Municipality,Bathinda,Punjab,13695
1,Kot Fatta (M Cl) - Ward No.1,Kot Fatta,Municipality,Bathinda,Punjab,74709
2,Kot Fatta (M Cl) - Ward No.2,Kot Fatta,Municipality,Bathinda,Punjab,74710
3,Kot Fatta (M Cl) - Ward No.3,Kot Fatta,Municipality,Bathinda,Punjab,74711
4,Kot Fatta (M Cl) - Ward No.4,Kot Fatta,Municipality,Bathinda,Punjab,74712
5,Kot Fatta (M Cl) - Ward No.5,Kot Fatta,Municipality,Bathinda,Punjab,74713
6,Kot Fatta (M Cl) - Ward No.6,Kot Fatta,Municipality,Bathinda,Punjab,74714
7,Kot Fatta (M Cl) - Ward No.7,Kot Fatta,Municipality,Bathinda,Punjab,74715
8,Kot Fatta (M Cl) - Ward No.8,Kot Fatta,Municipality,Bathinda,Punjab,74716
9,Kot Fatta (M Cl) - Ward No.9,Kot Fatta,Municipality,Bathinda,Punjab,74717
10,Kot Fatta (M Cl) - Ward No.10,Kot Fatta,Municipality,Bathinda,Punjab,74718
11,Kot Fatta (M Cl) - Ward No.11,Kot Fatta,Municipality,Bathinda,Punjab,74719
1,Maur (M Cl) - Ward No.1,Maur,Municipality,Bathinda,Punjab,13721
2,Maur (M Cl) - Ward No.2,Maur,Municipality,Bathinda,Punjab,13722
3,Maur (M Cl) - Ward No.3,Maur,Municipality,Bathinda,Punjab,13723
4,Maur (M Cl) - Ward No.4,Maur,Municipality,Bathinda,Punjab,13724
5,Maur (M Cl) - Ward No.5,Maur,Municipality,Bathinda,Punjab,13725
6,Maur (M Cl) - Ward No.6,Maur,Municipality,Bathinda,Punjab,13726
7,Maur (M Cl) - Ward No.7,Maur,Municipality,Bathinda,Punjab,13727
8,Maur (M Cl) - Ward No.8,Maur,Municipality,Bathinda,Punjab,13728
9,Maur (M Cl) - Ward No.9,Maur,Municipality,Bathinda,Punjab,13729
10,Maur (M Cl) - Ward No.10,Maur,Municipality,Bathinda,Punjab,13730
11,Maur (M Cl) - Ward No.11,Maur,Municipality,Bathinda,Punjab,13731
12,Maur (M Cl) - Ward No.12,Maur,Municipality,Bathinda,Punjab,13732
13,Maur (M Cl) - Ward No.13,Maur,Municipality,Bathinda,Punjab,13733
14,Maur (M Cl) - Ward No.14,Maur,Municipality,Bathinda,Punjab,13734
15,Maur (M Cl) - Ward No.15,Maur,Municipality,Bathinda,Punjab,13735
16,Maur - Ward No. 16,Maur,Municipality,Bathinda,Punjab,2878455
17,Maur - Ward No. 17,Maur,Municipality,Bathinda,Punjab,2878456
1,Raman (M Cl) - Ward No.1,Raman,Municipality,Bathinda,Punjab,74720
2,Raman (M Cl) - Ward No.2,Raman,Municipality,Bathinda,Punjab,74721
3,Raman (M Cl) - Ward No.3,Raman,Municipality,Bathinda,Punjab,74722
4,Raman (M Cl) - Ward No.4,Raman,Municipality,Bathinda,Punjab,74723
5,Raman (M Cl) - Ward No.5,Raman,Municipality,Bathinda,Punjab,74724
6,Raman (M Cl) - Ward No.6,Raman,Municipality,Bathinda,Punjab,74725
7,Raman (M Cl) - Ward No.7,Raman,Municipality,Bathinda,Punjab,74726
8,Raman (M Cl) - Ward No.8,Raman,Municipality,Bathinda,Punjab,74727
9,Raman (M Cl) - Ward No.9,Raman,Municipality,Bathinda,Punjab,74728
10,Raman (M Cl) - Ward No.10,Raman,Municipality,Bathinda,Punjab,74729
11,Raman (M Cl) - Ward No.11,Raman,Municipality,Bathinda,Punjab,74730
12,Raman (M Cl) - Ward No.12,Raman,Municipality,Bathinda,Punjab,74731
13,Raman (M Cl) - Ward No.13,Raman,Municipality,Bathinda,Punjab,74732
14,Raman -Ward No. 14,Raman,Municipality,Bathinda,Punjab,2878705
15,Raman - Ward No. 15,Raman,Municipality,Bathinda,Punjab,2878706
1,Rampura Phul (M Cl) - Ward No.1,Rampura Phul,Municipality,Bathinda,Punjab,13663
2,Rampura Phul (M Cl) - Ward No.2,Rampura Phul,Municipality,Bathinda,Punjab,13664
3,Rampura Phul (M Cl) - Ward No.3,Rampura Phul,Municipality,Bathinda,Punjab,13665
4,Rampura Phul (M Cl) - Ward No.4,Rampura Phul,Municipality,Bathinda,Punjab,13666
5,Rampura Phul (M Cl) - Ward No.5,Rampura Phul,Municipality,Bathinda,Punjab,13667
6,Rampura Phul (M Cl) - Ward No.6,Rampura Phul,Municipality,Bathinda,Punjab,13668
7,Rampura Phul (M Cl) - Ward No.7,Rampura Phul,Municipality,Bathinda,Punjab,13669
8,Rampura Phul (M Cl) - Ward No.8,Rampura Phul,Municipality,Bathinda,Punjab,13670
9,Rampura Phul (M Cl) - Ward No.9,Rampura Phul,Municipality,Bathinda,Punjab,13671
10,Rampura Phul (M Cl) - Ward No.10,Rampura Phul,Municipality,Bathinda,Punjab,13672
11,Rampura Phul (M Cl) - Ward No.11,Rampura Phul,Municipality,Bathinda,Punjab,13673
12,Rampura Phul (M Cl) - Ward No.12,Rampura Phul,Municipality,Bathinda,Punjab,13674
13,Rampura Phul (M Cl) - Ward No.13,Rampura Phul,Municipality,Bathinda,Punjab,13675
14,Rampura Phul (M Cl) - Ward No.14,Rampura Phul,Municipality,Bathinda,Punjab,13676
15,Rampura Phul (M Cl) - Ward No.15,Rampura Phul,Municipality,Bathinda,Punjab,13677
16,Rampura Phul (M Cl) - Ward No.16,Rampura Phul,Municipality,Bathinda,Punjab,13678
17,Rampura Phul (M Cl) - Ward No.17,Rampura Phul,Municipality,Bathinda,Punjab,13679
18,Jawahar Nagar on Rampura - Bathinda Road (OG) - Ward No.18,Rampura Phul,Municipality,Bathinda,Punjab,13680
19,Dashmesh Nagar on Rampura - Mehraj Road (OG) - Ward No.19,Rampura Phul,Municipality,Bathinda,Punjab,13681
20,Outgrowth of Gandhi Nagar on Pitho Road (OG) - Ward No.20,Rampura Phul,Municipality,Bathinda,Punjab,13682
21,Rampura Phul - Ward No. 21,Rampura Phul,Municipality,Bathinda,Punjab,2876770
1,Sangat (M Cl) - Ward No.1,Sangat,Municipality,Bathinda,Punjab,13710
2,Sangat (M Cl) - Ward No.2,Sangat,Municipality,Bathinda,Punjab,13711
3,Sangat (M Cl) - Ward No.3,Sangat,Municipality,Bathinda,Punjab,13712
4,Sangat (M Cl) - Ward No.4,Sangat,Municipality,Bathinda,Punjab,13713
5,Sangat (M Cl) - Ward No.5,Sangat,Municipality,Bathinda,Punjab,13714
6,Sangat (M Cl) - Ward No.6,Sangat,Municipality,Bathinda,Punjab,13715
7,Sangat (M Cl) - Ward No.7,Sangat,Municipality,Bathinda,Punjab,13716
8,Sangat (M Cl) - Ward No.8,Sangat,Municipality,Bathinda,Punjab,13717
9,Sangat (M Cl) - Ward No.9,Sangat,Municipality,Bathinda,Punjab,13718
1,Ward No.1,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2141977
2,Ward No. 2,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2141978
3,Ward No. 3,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2141979
4,Ward No. 4,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2141980
5,Bhagta Bhaika - Ward no. 5,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878309
6,Bhagta Bhaika - Ward no. 6,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878310
7,Bhagta Bhaika - Ward no. 7,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878311
8,Bhagta Bhaika - Ward no. 8,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878312
9,Bhagta Bhaika - Ward no. 9,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878313
10,Bhagta Bhaika - Ward no. 10,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878314
11,Bhagta Bhaika - Ward no. 11,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878315
12,Bhagta Bhaika - Ward no. 12,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878316
13,Bhagta Bhaika - Ward no. 13,Bhagta Bhai Ka Nagar Panchayat,Town Panchayat,Bathinda,Punjab,2878317
1,Ward No.1,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2141830
2,Ward No.2,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2141831
3,Ward No.3,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2141832
4,Ward No.4,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2141833
5,Bhai Rupa - Ward no. 5,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878320
6,Bhai Rupa - Ward no. 6,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878321
7,Bhai Rupa - Ward no. 7,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878322
8,Bhai Rupa - Ward no. 8,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878323
9,Bhai Rupa - Ward no. 9,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878324
10,Bhai Rupa - Ward no. 10,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878325
11,Bhai Rupa - Ward no. 11,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878326
12,Bhai Rupa - Ward no. 12,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878327
13,Bhai Rupa - Ward no. 13,Bhai Rupa,Town Panchayat,Bathinda,Punjab,2878328
1,Ward No.1,Kot Shamir,Town Panchayat,Bathinda,Punjab,2141896
2,Ward No. 2,Kot Shamir,Town Panchayat,Bathinda,Punjab,2141897
3,Ward No. 3,Kot Shamir,Town Panchayat,Bathinda,Punjab,2141898
4,Ward No. 4,Kot Shamir,Town Panchayat,Bathinda,Punjab,2141899
5,Kot Shamir - Ward No.5,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879028
6,Kot Shamir - Ward No.6,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879029
7,Kot Shamir - Ward No.7,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879030
8,Kot Shamir - Ward No.8,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879031
9,Kot Shamir - Ward No.9,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879032
10,Kot Shamir - Ward No.10,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879033
11,Kot Shamir - Ward No.11,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879034
12,Kot Shamir - Ward No.12,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879035
13,Kot Shamir - Ward No.13,Kot Shamir,Town Panchayat,Bathinda,Punjab,2879036
1,Ward No.1,Kotha Guru,Town Panchayat,Bathinda,Punjab,2141862
2,Ward No. 2,Kotha Guru,Town Panchayat,Bathinda,Punjab,2141863
3,Ward No. 3,Kotha Guru,Town Panchayat,Bathinda,Punjab,2141864
4,Ward No. 4,Kotha Guru,Town Panchayat,Bathinda,Punjab,2141865
5,Kotha Guru Ward No.5,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876621
6,Kotha Guru Ward No.6,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876622
7,Kotha Guru Ward No.7,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876623
8,Kotha Guru Ward No.8,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876624
9,Kotha Guru Ward No.9,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876625
10,Kotha Guru Ward No.10,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876626
11,Kotha Guru Ward No.11,Kotha Guru,Town Panchayat,Bathinda,Punjab,2876627
1,Ward No.1,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2141854
2,Ward No.2,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2141855
3,Ward No.3,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2141856
4,Ward No.4,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2141857
5,Lehra Mohabbat - Ward No. 5,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876637
6,Lehra Mohabbat - Ward No. 6,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876638
7,Lehra Mohabbat - Ward No. 7,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876639
8,Lehra Mohabbat - Ward No. 8,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876640
9,Lehra Mohabbat - Ward No. 9,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876641
10,Lehra Mohabbat - Ward No. 10,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876642
11,Lehra Mohabbat - Ward No. 11,Lehra Mohabat,Town Panchayat,Bathinda,Punjab,2876643
1,Ward No.1,Maluka,Town Panchayat,Bathinda,Punjab,2141881
2,Ward No. 2,Maluka,Town Panchayat,Bathinda,Punjab,2141882
3,Ward No. 3,Maluka,Town Panchayat,Bathinda,Punjab,2141883
4,Ward No. 4,Maluka,Town Panchayat,Bathinda,Punjab,2141884
5,Maluka - Ward No. 5,Maluka,Town Panchayat,Bathinda,Punjab,2879048
6,Maluka - Ward No. 6,Maluka,Town Panchayat,Bathinda,Punjab,2879049
7,Maluka - Ward No. 7,Maluka,Town Panchayat,Bathinda,Punjab,2879050
8,Maluka - Ward No. 8,Maluka,Town Panchayat,Bathinda,Punjab,2879051
9,Maluka - Ward No. 9,Maluka,Town Panchayat,Bathinda,Punjab,2879052
10,Maluka - Ward No. 10,Maluka,Town Panchayat,Bathinda,Punjab,2879053
11,Maluka - Ward No. 11,Maluka,Town Panchayat,Bathinda,Punjab,2879054
1,Ward No.1,Mehraj,Town Panchayat,Bathinda,Punjab,2141834
2,Ward No.2,Mehraj,Town Panchayat,Bathinda,Punjab,2141835
3,Ward No.3,Mehraj,Town Panchayat,Bathinda,Punjab,2141836
4,Ward No.4,Mehraj,Town Panchayat,Bathinda,Punjab,2141837
5,Mehraj Ward No. 5,Mehraj,Town Panchayat,Bathinda,Punjab,2879064
6,Mehraj Ward No. 6,Mehraj,Town Panchayat,Bathinda,Punjab,2879065
7,Mehraj Ward No. 7,Mehraj,Town Panchayat,Bathinda,Punjab,2879066
8,Mehraj Ward No. 8,Mehraj,Town Panchayat,Bathinda,Punjab,2879067
9,Mehraj Ward No. 9,Mehraj,Town Panchayat,Bathinda,Punjab,2879068
10,Mehraj Ward No. 10,Mehraj,Town Panchayat,Bathinda,Punjab,2879069
11,Mehraj Ward No. 11,Mehraj,Town Panchayat,Bathinda,Punjab,2879070
12,Mehraj Ward No. 12,Mehraj,Town Panchayat,Bathinda,Punjab,2879071
13,Mehraj Ward No. 13,Mehraj,Town Panchayat,Bathinda,Punjab,2879072
1,Ward No.1,Nathana,Town Panchayat,Bathinda,Punjab,2141858
2,Ward No. 2,Nathana,Town Panchayat,Bathinda,Punjab,2141859
3,Ward No. 3,Nathana,Town Panchayat,Bathinda,Punjab,2141860
4,Ward No. 4,Nathana,Town Panchayat,Bathinda,Punjab,2141861
5,Nathana - Ward No. 5,Nathana,Town Panchayat,Bathinda,Punjab,2879089
6,Nathana - Ward No. 6,Nathana,Town Panchayat,Bathinda,Punjab,2879090
7,Nathana - Ward No. 7,Nathana,Town Panchayat,Bathinda,Punjab,2879091
8,Nathana - Ward No. 8,Nathana,Town Panchayat,Bathinda,Punjab,2879092
9,Nathana - Ward No. 9,Nathana,Town Panchayat,Bathinda,Punjab,2879093
10,Nathana - Ward No. 10,Nathana,Town Panchayat,Bathinda,Punjab,2879094
11,Nathana - Ward No. 11,Nathana,Town Panchayat,Bathinda,Punjab,2879095
1,Ward No.1,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2141822
2,Ward No.2,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2141823
3,Ward No.3,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2141824
4,Ward No.4,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2141825
5,Talwandi Sabo - Ward No. 5,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876646
6,Talwandi Sabo - Ward No. 6,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876647
7,Talwandi Sabo - Ward No. 7,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876648
8,Talwandi Sabo - Ward No. 8,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876649
9,Talwandi Sabo - Ward No. 9,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876650
10,Talwandi Sabo - Ward No. 10,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876651
11,Talwandi Sabo - Ward No. 11,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876652
12,Talwandi Sabo - Ward No. 12,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876653
13,Talwandi Sabo - Ward No. 13,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876654
14,Talwandi Sabo - Ward No. 14,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876655
15,Talwandi Sabo - Ward No. 15,Talwandi Sabo,Town Panchayat,Bathinda,Punjab,2876656
1,Faridkot (M Cl) - Ward No.1,Faridkot,Municipality,Faridkot,Punjab,13222
2,Faridkot (M Cl) - Ward No.2,Faridkot,Municipality,Faridkot,Punjab,13223
3,Faridkot (M Cl) - Ward No.3,Faridkot,Municipality,Faridkot,Punjab,13224
4,Faridkot (M Cl) - Ward No.4,Faridkot,Municipality,Faridkot,Punjab,13225
5,Faridkot (M Cl) - Ward No.5,Faridkot,Municipality,Faridkot,Punjab,13226
6,Faridkot (M Cl) - Ward No.6,Faridkot,Municipality,Faridkot,Punjab,13227
7,Faridkot (M Cl) - Ward No.7,Faridkot,Municipality,Faridkot,Punjab,13228
8,Faridkot (M Cl) - Ward No.8,Faridkot,Municipality,Faridkot,Punjab,13229
9,Faridkot (M Cl) - Ward No.9,Faridkot,Municipality,Faridkot,Punjab,13230
10,Faridkot (M Cl) - Ward No.10,Faridkot,Municipality,Faridkot,Punjab,13231
11,Faridkot (M Cl) - Ward No.11,Faridkot,Municipality,Faridkot,Punjab,13232
12,Faridkot (M Cl) - Ward No.12,Faridkot,Municipality,Faridkot,Punjab,13233
13,Faridkot (M Cl) - Ward No.13,Faridkot,Municipality,Faridkot,Punjab,13234
14,Faridkot (M Cl) - Ward No.14,Faridkot,Municipality,Faridkot,Punjab,13235
15,Faridkot (M Cl) - Ward No.15,Faridkot,Municipality,Faridkot,Punjab,13236
16,Faridkot (M Cl) - Ward No.16,Faridkot,Municipality,Faridkot,Punjab,13237
17,Faridkot (M Cl) - Ward No.17,Faridkot,Municipality,Faridkot,Punjab,13238
18,Faridkot (M Cl) - Ward No.18,Faridkot,Municipality,Faridkot,Punjab,13239
19,Faridkot (M Cl) - Ward No.19,Faridkot,Municipality,Faridkot,Punjab,13240
20,Faridkot (M Cl) - Ward No.20,Faridkot,Municipality,Faridkot,Punjab,13241
21,Faridkot (M Cl) - Ward No.21,Faridkot,Municipality,Faridkot,Punjab,13242
22,Houses Rice Shellers (Bholowal - Road) (OG) - Ward No.22,Faridkot,Municipality,Faridkot,Punjab,13243
23,Faridkot - Ward No. 23,Faridkot,Municipality,Faridkot,Punjab,2878386
24,Faridkot - Ward No. 24,Faridkot,Municipality,Faridkot,Punjab,2878387
25,Faridkot - Ward No. 25,Faridkot,Municipality,Faridkot,Punjab,2878388
1,Jaitu (M Cl) - Ward No.1,Jaitu,Municipality,Faridkot,Punjab,13267
2,Jaitu (M Cl) - Ward No.2,Jaitu,Municipality,Faridkot,Punjab,13268
3,Jaitu (M Cl) - Ward No.3,Jaitu,Municipality,Faridkot,Punjab,13269
4,Jaitu (M Cl) - Ward No.4,Jaitu,Municipality,Faridkot,Punjab,13270
5,Jaitu (M Cl) - Ward No.5,Jaitu,Municipality,Faridkot,Punjab,13271
6,Jaitu (M Cl) - Ward No.6,Jaitu,Municipality,Faridkot,Punjab,13272
7,Jaitu (M Cl) - Ward No.7,Jaitu,Municipality,Faridkot,Punjab,13273
8,Jaitu (M Cl) - Ward No.8,Jaitu,Municipality,Faridkot,Punjab,13274
9,Jaitu (M Cl) - Ward No.9,Jaitu,Municipality,Faridkot,Punjab,13275
10,Jaitu (M Cl) - Ward No.10,Jaitu,Municipality,Faridkot,Punjab,13276
